"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 03, 2011","0.33","0.34","0.34","0.32","7.72M","-2.94%"
"Sep 30, 2011","0.34","0.34","0.34","0.34","11.55M","0.00%"
"Sep 29, 2011","0.34","0.34","0.34","0.34","876.00K","0.00%"
"Sep 28, 2011","0.34","0.34","0.34","0.34","2.93M","0.00%"
"Sep 27, 2011","0.34","0.33","0.34","0.33","6.59M","3.03%"
"Sep 26, 2011","0.33","0.33","0.33","0.33","4.40M","0.00%"
"Sep 23, 2011","0.33","0.33","0.33","0.32","7.54M","0.00%"
"Sep 22, 2011","0.33","0.35","0.35","0.33","3.12M","-5.71%"
"Sep 21, 2011","0.35","0.35","0.35","0.35","2.94M","0.00%"
"Sep 20, 2011","0.35","0.35","0.35","0.35","1.80M","0.00%"
"Sep 19, 2011","0.35","0.35","0.35","0.35","5.34M","0.00%"
"Sep 15, 2011","0.35","0.34","0.35","0.34","5.98M","2.94%"
"Sep 14, 2011","0.34","0.35","0.35","0.34","6.63M","-2.86%"
"Sep 13, 2011","0.35","0.35","0.36","0.34","16.42M","-2.78%"
"Sep 12, 2011","0.36","0.38","0.38","0.36","19.23M","-5.26%"
"Sep 09, 2011","0.38","0.39","0.39","0.38","11.55M","-2.56%"
"Sep 08, 2011","0.39","0.40","0.40","0.39","2.99M","-2.50%"
"Sep 07, 2011","0.40","0.40","0.40","0.40","6.36M","0.00%"
"Sep 06, 2011","0.40","0.41","0.41","0.40","5.68M","-2.44%"
"Sep 05, 2011","0.41","0.40","0.41","0.40","7.02M","2.50%"
"Sep 02, 2011","0.40","0.40","0.42","0.40","6.12M","0.00%"
"Aug 29, 2011","0.40","0.41","0.41","0.40","1.05M","-2.44%"
"Aug 26, 2011","0.41","0.41","0.41","0.40","2.07M","0.00%"
"Aug 25, 2011","0.41","0.41","0.41","0.41","1.02M","0.00%"
"Aug 24, 2011","0.41","0.41","0.41","0.41","1.96M","0.00%"
"Aug 23, 2011","0.41","0.41","0.41","0.41","2.29M","0.00%"
"Aug 22, 2011","0.41","0.41","0.41","0.41","1.25M","0.00%"
"Aug 19, 2011","0.41","0.43","0.43","0.41","11.78M","-4.65%"
"Aug 18, 2011","0.43","0.43","0.43","0.43","738.00K","0.00%"
"Aug 17, 2011","0.43","0.43","0.43","0.43","1.59M","0.00%"
"Aug 16, 2011","0.43","0.43","0.44","0.43","7.33M","-2.27%"
"Aug 15, 2011","0.44","0.44","0.44","0.43","1.89M","0.00%"
"Aug 12, 2011","0.44","0.44","0.44","0.43","3.24M","0.00%"
"Aug 11, 2011","0.44","0.42","0.44","0.42","9.22M","-10.20%"
"Aug 10, 2011","0.49","0.41","0.49","0.41","7.17M","19.51%"
"Aug 09, 2011","0.41","0.42","0.42","0.40","17.12M","-4.65%"
"Aug 08, 2011","0.43","0.43","0.43","0.43","18.70M","-2.27%"
"Aug 05, 2011","0.44","0.43","0.44","0.43","14.06M","0.00%"
"Aug 04, 2011","0.44","0.44","0.45","0.43","5.47M","0.00%"
"Aug 03, 2011","0.44","0.43","0.44","0.43","933.60K","0.00%"
"Aug 02, 2011","0.44","0.45","0.45","0.44","6.22M","-2.22%"
"Aug 01, 2011","0.45","0.45","0.45","0.44","13.68M","0.00%"
"Jul 29, 2011","0.45","0.45","0.45","0.45","7.30M","0.00%"
"Jul 28, 2011","0.45","0.45","0.45","0.44","3.68M","0.00%"
"Jul 27, 2011","0.45","0.45","0.45","0.45","1.15M","0.00%"
"Jul 26, 2011","0.45","0.45","0.45","0.45","4.71M","0.00%"
"Jul 25, 2011","0.45","0.45","0.45","0.45","20.07M","0.00%"
"Jul 22, 2011","0.45","0.45","0.46","0.45","10.48M","0.00%"
"Jul 21, 2011","0.45","0.45","0.46","0.45","14.20M","0.00%"
"Jul 20, 2011","0.45","0.45","0.45","0.45","15.10M","0.00%"
"Jul 19, 2011","0.45","0.44","0.45","0.44","4.92M","2.27%"
"Jul 18, 2011","0.44","0.44","0.44","0.44","20.26M","0.00%"
"Jul 15, 2011","0.44","0.44","0.45","0.44","15.37M","0.00%"
"Jul 14, 2011","0.44","0.44","0.44","0.44","21.93M","0.00%"
"Jul 13, 2011","0.44","0.44","0.44","0.44","8.83M","0.00%"
"Jul 12, 2011","0.44","0.44","0.44","0.44","5.37M","0.00%"
"Jul 11, 2011","0.44","0.44","0.45","0.44","6.48M","0.00%"
"Jul 08, 2011","0.44","0.45","0.45","0.44","9.77M","-4.35%"
"Jul 07, 2011","0.46","0.46","0.46","0.45","35.46M","2.22%"
"Jul 06, 2011","0.45","0.44","0.46","0.44","37.43M","2.27%"
"Jul 05, 2011","0.44","0.44","0.44","0.44","15.98M","0.00%"
"Jul 04, 2011","0.44","0.44","0.44","0.44","655.20K","0.00%"
"Jul 01, 2011","0.44","0.44","0.44","0.44","3.78M","0.00%"
"Jun 30, 2011","0.44","0.43","0.44","0.43","26.96M","0.00%"
"Jun 29, 2011","0.44","0.44","0.44","0.44","1.44M","0.00%"
"Jun 28, 2011","0.44","0.44","0.44","0.44","15.61M","0.00%"
"Jun 27, 2011","0.44","0.44","0.44","0.44","2.35M","0.00%"
"Jun 24, 2011","0.44","0.44","0.44","0.44","13.99M","2.33%"
"Jun 23, 2011","0.43","0.43","0.44","0.43","2.93M","0.00%"
"Jun 22, 2011","0.43","0.43","0.43","0.43","29.60M","0.00%"
"Jun 21, 2011","0.43","0.43","0.43","0.43","11.57M","0.00%"
"Jun 20, 2011","0.43","0.43","0.44","0.43","3.79M","-2.27%"
"Jun 17, 2011","0.44","0.44","0.44","0.44","9.75M","0.00%"
"Jun 16, 2011","0.44","0.44","0.44","0.44","10.54M","0.00%"
"Jun 15, 2011","0.44","0.43","0.44","0.43","14.48M","2.33%"
"Jun 14, 2011","0.43","0.44","0.44","0.43","6.60M","-2.27%"
"Jun 13, 2011","0.44","0.44","0.44","0.44","1.87M","0.00%"
"Jun 10, 2011","0.44","0.44","0.44","0.43","23.30M","-2.22%"
"Jun 09, 2011","0.45","0.44","0.45","0.44","15.56M","2.27%"
"Jun 08, 2011","0.44","0.44","0.44","0.44","3.34M","0.00%"
"Jun 07, 2011","0.44","0.44","0.44","0.44","5.45M","0.00%"
"Jun 06, 2011","0.44","0.44","0.44","0.44","1.72M","0.00%"
"Jun 03, 2011","0.44","0.43","0.44","0.43","1.02M","2.33%"
"Jun 02, 2011","0.43","0.44","0.44","0.43","454.80K","-2.27%"
"Jun 01, 2011","0.44","0.43","0.44","0.43","20.11M","2.33%"
"May 31, 2011","0.43","0.43","0.43","0.43","7.21M","0.00%"
"May 30, 2011","0.43","0.43","0.43","0.43","6.84M","0.00%"
"May 27, 2011","0.43","0.43","0.43","0.43","4.94M","0.00%"
"May 26, 2011","0.43","0.43","0.44","0.43","7.81M","0.00%"
"May 25, 2011","0.43","0.43","0.43","0.43","541.20K","0.00%"
"May 24, 2011","0.43","0.43","0.44","0.43","482.40K","0.00%"
"May 23, 2011","0.43","0.44","0.44","0.43","796.80K","-2.27%"
"May 20, 2011","0.44","0.43","0.45","0.43","25.79M","2.33%"
"May 19, 2011","0.43","0.43","0.43","0.43","8.41M","0.00%"
"May 18, 2011","0.43","0.43","0.43","0.42","4.13M","0.00%"
"May 16, 2011","0.43","0.43","0.43","0.42","13.19M","0.00%"
"May 13, 2011","0.43","0.43","0.43","0.43","4.44M","0.00%"
"May 12, 2011","0.43","0.43","0.43","0.43","1.88M","0.00%"
"May 11, 2011","0.43","0.43","0.43","0.43","1.89M","0.00%"
"May 10, 2011","0.43","0.43","0.43","0.43","3.36M","0.00%"
"May 09, 2011","0.43","0.43","0.43","0.43","369.60K","0.00%"
"May 06, 2011","0.43","0.43","0.43","0.43","14.54M","0.00%"
"May 05, 2011","0.43","0.43","0.43","0.43","6.36M","0.00%"
"May 04, 2011","0.43","0.43","0.43","0.43","7.27M","0.00%"
"May 03, 2011","0.43","0.42","0.43","0.42","2.96M","0.00%"
"Apr 29, 2011","0.43","0.43","0.43","0.43","4.24M","0.00%"
"Apr 28, 2011","0.43","0.43","0.44","0.43","7.71M","-2.27%"
"Apr 27, 2011","0.44","0.44","0.44","0.43","2.69M","2.33%"
"Apr 26, 2011","0.43","0.43","0.43","0.43","4.75M","0.00%"
"Apr 25, 2011","0.43","0.43","0.43","0.43","3.94M","0.00%"
"Apr 22, 2011","0.43","0.43","0.43","0.43","12.39M","0.00%"
"Apr 21, 2011","0.43","0.43","0.43","0.43","14.20M","0.00%"
"Apr 20, 2011","0.43","0.43","0.43","0.43","11.74M","0.00%"
"Apr 19, 2011","0.43","0.42","0.43","0.42","6.57M","2.38%"
"Apr 18, 2011","0.42","0.43","0.43","0.42","53.10M","-2.33%"
"Apr 15, 2011","0.43","0.42","0.43","0.42","28.28M","2.38%"
"Apr 14, 2011","0.42","0.42","0.42","0.41","44.66M","2.44%"
"Apr 13, 2011","0.41","0.42","0.42","0.41","48.01M","-2.38%"
"Apr 12, 2011","0.42","0.43","0.43","0.42","5.50M","-2.33%"
"Apr 11, 2011","0.43","0.43","0.43","0.43","3.91M","0.00%"
"Apr 08, 2011","0.43","0.43","0.44","0.43","18.88M","-2.27%"
"Apr 07, 2011","0.44","0.44","0.44","0.43","2.94M","0.00%"
"Apr 06, 2011","0.44","0.43","0.44","0.43","10.06M","2.33%"
"Apr 05, 2011","0.43","0.44","0.44","0.43","10.51M","-2.27%"
"Apr 04, 2011","0.44","0.44","0.44","0.44","9.55M","0.00%"
"Apr 01, 2011","0.44","0.45","0.45","0.44","9.21M","-2.22%"
"Mar 31, 2011","0.45","0.44","0.45","0.44","15.92M","2.27%"
"Mar 30, 2011","0.44","0.44","0.44","0.44","5.16M","0.00%"
"Mar 29, 2011","0.44","0.44","0.44","0.44","5.89M","0.00%"
"Mar 28, 2011","0.44","0.44","0.45","0.44","2.58M","0.00%"
"Mar 25, 2011","0.44","0.44","0.44","0.44","7.02M","0.00%"
"Mar 24, 2011","0.44","0.44","0.44","0.44","6.19M","0.00%"
"Mar 23, 2011","0.44","0.45","0.45","0.44","11.13M","-2.22%"
"Mar 22, 2011","0.45","0.45","0.45","0.44","11.48M","0.00%"
"Mar 21, 2011","0.45","0.45","0.45","0.44","14.01M","0.00%"
"Mar 18, 2011","0.45","0.44","0.45","0.44","10.10M","2.27%"
"Mar 17, 2011","0.44","0.43","0.44","0.43","7.93M","0.00%"
"Mar 16, 2011","0.44","0.45","0.45","0.43","52.44M","0.00%"
"Mar 15, 2011","0.44","0.42","0.45","0.42","55.00M","4.76%"
"Mar 14, 2011","0.42","0.41","0.42","0.40","7.56M","2.44%"
"Mar 11, 2011","0.41","0.41","0.42","0.41","5.61M","-2.38%"
"Mar 10, 2011","0.42","0.41","0.42","0.41","29.79M","2.44%"
"Mar 09, 2011","0.41","0.40","0.41","0.40","13.01M","2.50%"
"Mar 08, 2011","0.40","0.39","0.41","0.39","6.46M","2.56%"
"Mar 07, 2011","0.39","0.40","0.40","0.39","2.86M","0.00%"
"Mar 04, 2011","0.39","0.40","0.40","0.39","12.75M","-2.50%"
"Mar 03, 2011","0.40","0.40","0.40","0.39","15.99M","0.00%"
"Mar 02, 2011","0.40","0.40","0.40","0.40","6.97M","-2.44%"
"Mar 01, 2011","0.41","0.41","0.41","0.41","8.50M","0.00%"
"Feb 28, 2011","0.41","0.41","0.41","0.41","5.62M","0.00%"
"Feb 25, 2011","0.41","0.41","0.41","0.41","4.28M","0.00%"
"Feb 24, 2011","0.41","0.42","0.42","0.41","7.44M","0.00%"
"Feb 23, 2011","0.41","0.42","0.42","0.41","4.76M","-2.38%"
"Feb 22, 2011","0.42","0.42","0.43","0.42","3.00M","0.00%"
"Feb 21, 2011","0.42","0.43","0.43","0.42","1.59M","-2.33%"
"Feb 18, 2011","0.43","0.43","0.43","0.43","8.62M","0.00%"
"Feb 17, 2011","0.43","0.42","0.43","0.42","9.68M","2.38%"
"Feb 16, 2011","0.42","0.42","0.42","0.42","2.61M","0.00%"
"Feb 14, 2011","0.42","0.41","0.42","0.41","4.86M","2.44%"
"Feb 11, 2011","0.41","0.41","0.41","0.41","3.86M","0.00%"
"Feb 10, 2011","0.41","0.41","0.42","0.41","4.87M","0.00%"
"Feb 09, 2011","0.41","0.41","0.42","0.41","10.70M","0.00%"
"Feb 08, 2011","0.41","0.42","0.42","0.41","9.64M","0.00%"
"Feb 07, 2011","0.41","0.42","0.42","0.41","7.36M","-2.38%"
"Feb 02, 2011","0.42","0.42","0.42","0.42","5.22M","2.44%"
"Jan 31, 2011","0.41","0.42","0.42","0.41","18.21M","0.00%"
"Jan 28, 2011","0.41","0.42","0.42","0.41","22.76M","-2.38%"
"Jan 27, 2011","0.42","0.42","0.42","0.42","14.23M","0.00%"
"Jan 26, 2011","0.42","0.42","0.42","0.42","18.54M","0.00%"
"Jan 25, 2011","0.42","0.42","0.43","0.42","14.22M","0.00%"
"Jan 24, 2011","0.42","0.42","0.42","0.42","3.63M","0.00%"
"Jan 21, 2011","0.42","0.42","0.42","0.42","6.52M","0.00%"
"Jan 19, 2011","0.42","0.43","0.43","0.42","5.63M","-2.33%"
"Jan 18, 2011","0.43","0.43","0.43","0.43","7.73M","0.00%"
"Jan 17, 2011","0.43","0.44","0.44","0.43","9.12M","-2.27%"
"Jan 14, 2011","0.44","0.44","0.44","0.43","5.58M","0.00%"
"Jan 13, 2011","0.44","0.44","0.44","0.44","25.08M","0.00%"
"Jan 12, 2011","0.44","0.45","0.45","0.44","9.27M","-2.22%"
